必修,1.0,F1080,英語コミュニケーションⅠ（Ｔクラス）／English Communication I
必修,1.0,F1081,英語コミュニケーションⅠ（Ｕクラス）／English Communication I
必修,1.0,F1082,英語コミュニケーションⅠ（Ｖクラス）／English Communication I
,,F1029z,
選択,2.0,F1521,医の科学
選択,1.0,F1554,日本語Ｃ-２
選択,1.0,F1047,中国語（Fクラス）／Chinese
必修,1.0,F1029,ＴＯＥＩＣ英語演習Ⅰ（Ａクラス）／TOEIC English Ⅰ
必修,1.0,F1030,ＴＯＥＩＣ英語演習Ⅰ（Bクラス）／TOEIC English Ⅰ
必修,1.0,F1031,ＴＯＥＩＣ英語演習Ⅰ（Cクラス）／TOEIC English Ⅰ
選択,1.0,F1040,ドイツ語（Fクラス）／German
必修,1,F1085,英語コミュニケーションⅠ（Ｙクラス）／English Communication I
必修,1.0,F1086,英語コミュニケーションⅠ（Ｚクラス）／English Communication I
選択,2.0,F1522,メンタルヘルス論
選択,2.0,F1523,青少年と文化
選択,1.0,F1555,日本語Ｄ-２
必修,1.0,F1087,英語総合演習（Aクラス）／Comprehensive English Seminar
必修,1.0,F1088,英語総合演習（Bクラス）／Comprehensive English Seminar
必修,1.0,F1089,英語総合演習（Cクラス）／Comprehensive English Seminar
必修,1.0,F1090,英語総合演習（Dクラス）／Comprehensive English Seminar
必修,1.0,F1083,英語コミュニケーションⅠ（Ｗクラス）／English Communication I
必修,1.0,F1084,英語コミュニケーションⅠ（Ｘクラス）／English Communication I
選択,2.0,F1517,運動の科学（創造工学科）
選択,2.0,F1519,経済事情（創造工学科）
必修,1.0,F1017,英語リーディング演習Ａ（Aクラス）／English Reading Seminar A
必修,1.0,F1018,英語リーディング演習Ａ（Bクラス）／English Reading Seminar A
必修,1.0,F1019,英語リーディング演習Ａ（Cクラス）／English Reading Seminar A
必修,1.0,F1020,英語リーディング演習Ａ（Dクラス）／English Reading Seminar A
必修,1.0,F1021,英語リーディング演習Ａ（Eクラス）／English Reading Seminar A
必修,1.0,F1022,英語リーディング演習Ａ（Fクラス）／English Reading Seminar A
,,F1023z,
必修,1.0,F1077,英語コミュニケーションⅠ（Ｑクラス）／English Communication I
必修,1.0,F1078,英語コミュニケーションⅠ（Ｒクラス）／English Communication I
選択,2.0,F1524,異文化交流Ａ
選択,1.0,F1543,スポーツ実習ｄ
